"Hogar","Factor","Comuna","Personas","Vehículos","BicicletasAdulto","BicicletasNino","IngresoHogar","Hombres","Mujeres","LicenciasdeConducir","PasesEscolares","Trabajadores","Estudiantes","Jubilados","DuenosdeCasa","Desempleados","Otros","Niños","Jovenes","AdultoJovenes","Adultos","AdultoMayores","Discapacidad","ViajesTrabajo","ViajesEstudio","ViajesOtro"
"2003","616.23992919922","HUECHURABA","4","0","2","0","959574","3","1","0","0","3","0","0","1","0","0","0","0","1","3","0","0","0","0","12"
"2004","33.800403594971","EL MONTE","5","0","1","0","652436","4","1","0","2","2","3","0","0","0","0","0","3","0","2","0","0","2","0","2"
"2005","131.66830444336","LO PRADO","4","0","0","2","308140","2","2","0","1","1","2","0","0","0","1","0","2","0","2","0","1","4","4","2"
"2006","26.626398086548","LO BARNECHEA","1","1","0","0","626361","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","0"
"2007","323.35321044922","LA FLORIDA","5","2","1","0","1293837","3","2","4","2","3","2","0","0","0","0","0","0","1","4","0","1","8","4","6"
"2008","211.78477478027","SANTIAGO","1","0","0","0","220000","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2"
"2009","32.713516235352","PROVIDENCIA","4","1","0","1","594929","2","2","2","1","2","3","0","1","0","0","0","1","1","2","0","0","2","4","5"
"2010","96.192596435547","QUILICURA","5","0","2","0","375900","1","4","0","1","0","0","0","1","0","4","0","2","0","3","0","0","0","0","8"
"2011","126.12023162842","SAN BERNARDO","2","0","0","0","148219","1","1","0","0","0","0","2","0","0","0","0","0","0","1","1","2","0","0","2"
"2012","101.78520965576","PEDRO AGUIRRE CERDA","4","0","1","0","798507","2","2","0","0","2","1","0","0","1","0","0","1","1","2","0","0","3","0","0"
"2013","69.643341064453","PUDAHUEL","4","1","4","0","500000","2","2","0","2","1","0","0","1","0","2","0","0","2","2","0","0","2","0","4"
"2014","38.061412811279","VITACURA","1","0","0","0","185829","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","2"
"2015","182.22381591797","SAN BERNARDO","1","0","1","0","90000","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","4"
"2016","190.52033996582","ÑUÑOA","1","1","0","0","533807","0","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","2","0"
"2017","212.70710754394","MELIPILLA","4","2","0","0","920261","2","2","2","0","4","0","0","0","0","0","0","0","2","2","0","0","2","0","0"
"2018","86.862274169922","SANTIAGO","3","0","0","1","170000","3","0","0","0","0","2","0","1","0","0","0","1","1","1","0","0","0","4","7"
"2019","91.342308044434","PUENTE ALTO","3","0","0","0","600000","1","2","0","1","1","1","0","1","0","0","0","1","0","2","0","0","2","2","2"
"2020","91.194435119629","MACUL","2","1","1","0","928275","1","1","2","0","2","0","0","0","0","0","0","0","0","2","0","0","2","0","3"
"2021","183.74638366699","PUENTE ALTO","1","0","0","0","70000","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"2022","111.06084442139","PEÑALOLEN","4","0","1","0","751644","2","2","0","0","2","0","0","2","0","0","0","0","0","4","0","1","4","0","2"
"2023","65.6669921875","CALERA DE TANGO","5","0","2","0","816062","2","3","1","1","4","1","0","0","0","0","0","1","0","4","0","0","9","2","1"
"2024","178.56480407715","SANTIAGO","2","0","0","0","148122","1","1","0","0","0","1","0","1","0","0","0","0","0","2","0","1","0","2","0"
"2025","89.317558288574","LO ESPEJO","5","1","2","0","3000000","4","1","4","2","3","2","0","0","0","0","0","1","1","3","0","0","5","3","4"
"2026","148.11343383789","SAN JOAQUIN","3","0","0","0","488064","1","2","0","0","0","0","1","1","0","1","0","0","0","1","2","1","0","0","6"
"2027","60.04158782959","MAIPU","5","1","1","0","855514","2","3","1","0","2","0","1","1","0","1","1","0","0","3","1","0","6","0","2"
"2028","452.52920532227","MELIPILLA","6","0","3","0","490000","3","3","1","2","1","2","3","0","0","0","0","1","1","1","3","3","8","2","0"
"2029","93.392639160156","LAS CONDES","2","0","0","0","194972","0","2","0","0","0","0","1","1","0","1","0","0","0","1","1","1","0","0","2"
"2030","128.52964782715","LA CISTERNA","4","1","0","0","900000","2","2","3","2","2","2","0","0","0","0","0","1","1","2","0","0","4","4","3"
"2031","151.38673400879","EL BOSQUE","1","0","0","0","200000","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","6"
"2032","119.00426483154","BUIN","2","0","1","0","300000","1","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","5"
